Дата;Запуск;Космодром;Стартовый комплекс;Ракета-носитель;Результат
25.12.69 12:59:00;"Запуск космического аппарата ДС-У1-ИК-1 (""Интеркосмос-2"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
20.12.69 06:26:00;"Запуск космического аппарата Целина-ОМ (""Космос-315"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-3М  ;Успешный 
11.12.69 15:58:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-314"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
24.11.69 14:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-311"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
04.11.69 14:59:00;"Запуск космического аппарата ДС-П1-И (""Космос-308"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
24.10.69 16:01:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-307"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
18.10.69 13:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-303"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
14.10.69 16:19:00;"Запуск космического аппарата ДС-У3-ИК-1 (""Интеркосмос-1"")";Капустин Яр  ;СК РН Космос  ;Космос-1  ;Успешный 
22.08.69 17:14:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-295"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
03.06.69 15:57:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-285"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
27.05.69 15:59:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-283"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
04.04.69 16:00:00;"Запуск космического аппарата ДС-П1-Ю (""Космос-277"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
28.03.69 19:00:00;"Запуск космического аппарата ДС-П1-И (""Космос-275"")";Плесецк  ;СК 132/1 (РН Космос)  ;Космос-1  ;Успешный 
