Управление;Реестровый номер;Номер сертификата соответствия аэропорта;Наименование юридического лица;Наименование аэропорта
;1;ФАВТ А.01150   14.04.08-14.04.11;ОАО «Аэропорт Внуково»;Москва   (Внуково)
;2;ФАВТ А.01243   05.06.08-05.06.11;ОАО «Международный аэропорт Шереметьево»;Москва   (Шереметьево)
;3;ФАВТ А.01733   11.03.10-11.03.13;ОАО «Аэропорт Астрахань»;Астрахань   (Нариманово)
;4;ФАВТ А.01722   18.02.10-28.02.13;ОАО «Аэропорт Ростов-на-Дону»;Ростов-на-Дону
;5;ФАВТ А.01799   29.04.10-29.04.13;ООО «Воздушные Ворота Северной Столицы»;Санкт-Петербург (Пулково)
;6;ФАВТ А.01280   09.07.08-09.07.11;ОАО «Челябинское авиапредприятие»;Челябинск   (Баландино)
;8;ФАВТ А.00909   25.09.07-25.09.10;ОАО «Аэропорт Толмачево»;Новосибирск (Толмачево)
;9;ФАВТ А.01073   15.02.08-15.02.11;ОАО «Международный аэропорт Волгоград»;Волгоград   (Гумрак)
;10;ФАВТ А.01030   10.12.07-29.11.10;ОАО «Аэропорт Рощино»; Тюмень   (Рощино)
;11;ФАВТ А.01468   17.02.09-16.07.10;ОАО «Международный аэропорт «Уфа»;Уфа
;12;ФАВТ А.01614   17.11.09-17.11.12;ОАО «Аэропорт Кольцово»;Екатеринбург (Кольцово)
;13;ФАВТ А.01604   10.11.09-10.11.12    ;ОАО «Международный аэропорт Нижний Новгород»;Нижний Новгород (Стригино)
;14;ФАВТ А.00938   19.10.07-19.10.10;ФГУП «Аэропорт Южно-Сахалинск»;Южно-Сахалинск   (Хомутово)
;15;ФАВТ А.01686   11.01.10-11.01.13;ОАО «Аэропорт Анапа»;Анапа   (Витязево)
;16;ФАВТ А.01654   24.12.09-24.12.12;ФГУП «Аэропорт Иркутск»;Иркутск
;17;ФАВТ А.01745   17.03.10-17.03.13;ОАО «Международный аэропорт Краснодар»;Краснодар (Пашковский)
;18;ФАВТ А.01184   29.04.08-29.04.11;ЗАО «Международный аэропорт Домодедово»;Москва   (Домодедово)
;20;ФАВТ А.00838   13.07.07-13.07.10;ОАО «Аэропорт Чита»;Чита           (Кадала)
;21;ФАВТ А.01301   08.08.08-08.08.11;ФГУП «КОМИАВИАТРАНС»;Сыктывкар
;22;ФАВТ А.01419   29.10.08-29.10.11;ОАО «ХАБАРОВСКИЙ АЭРОПОРТ»;Хабаровск   (Новый)
;23;ФАВТ А.01552   25.09.09-25.09.12;ОАО «Аэропорт Сургут»;Ноябрьск
;24;ФАВТ А.00879   24.08.07-24.08.10;ФГУАП «КАВМИНВОДЫАВИА»;Минеральные Воды    
;25;ФАВТ А.00842   19.07.07-19.07.10;ФГУАП «Оренбургские авиалинии»;Оренбург   (Центральный)
;26;ФАВТ А.01067   12.02.08-12.02.11;ОАО «Международный аэропорт Сочи»;Сочи
;27;ФАВТ А.01844   01.06.10-01.06.13;ОАО «Международный аэропорт Владивосток»;Владивосток   (Кневичи)
;28;ФАВТ А.00899   14.09.07-14.09.10;ОАО «Международный аэропорт Казань»;Казань
;29;ФАВТ А.01518   09.07.09-09.07.12;ОАО «Аэропорт Емельяново»;Красноярск (Емельяново)
;30; ФАВТ А.01774   09.04.10-09.04.13;ФГУП «Аэропорт Магадан»;Магадан
;32;ФАВТ А.01206   19.05.08-19.05.11;ФГУП «Магнитогорское авиапредприятие»;Магнитогорск
;33;ФАВТ А.01299   05.08.08-05.08.11;ОАО «Аэропорт Мурманск»;Мурманск
;34;ФАВТ А.00929   11.10.07-11.10.10;ООО «Международный аэропорт Когалым»;Когалым
;35;ФАВТ А.01734   11.03.10-11.03.13;ОАО «Аэропорт Абакан»;Абакан
;36;ФАВТ А.01214   22.05.08-22.05.11;ОАО «Омский аэропорт»;Омск (Центральный)
;37;ФАВТ А.01759   25.03.10-25.03.13;ГУП «Аэропорт Якутск»;Якутск
;38;ФАВТ А.01781   15.04.10-15.04.13;ООО «АЭРОКУЗБАСС»;Новокузнецк
;39;ФАВТ А.01410   21.10.08-14.06.11;ООО «Аэропорт Быково»;Москва   (Быково)
;40;ФАВТ А.01760   01.04.10-01.04.13;ООО «Аэропорт ТОМСК»;Томск   (Богашево )
;41;ФАВТ А.001849   03.06.10-03.06.13;ОАО «Саратовские авиалинии»;Саратов
;42;ФАВТ А.01816   19.05.10-19.05.13;ОАО «Авиационное предприятие «Алтай»;Барнаул имени Германа Степановича Титова
;43;ФАВТ А.00882   27.08.07-27.08.10;ОАО «Аэропорт Архангельск»;Архангельск   (Талаги)
;44;ФАВТ А.01555   29.09.09-29.09.12;ОАО «Аэропорт Братск»;Братск
;45;ФАВТ А.01284   11.07.08 - 12.07.11;ФГУП «ЧукотАВИА»    ;Анадырь
;46;ФАВТ А.01571   07.10.09-07.10.12;ОАО Авиакомпания «Воронежавиа»;Воронеж (Чертовицкое)    
;47;ФАВТ А.001702   02.02.10-02.02.13;ОАО «АЭРОПОРТ «БЕГИШЕВО»;Нижнекамск (Бегишево)
;49;ФАВТ А.01704   02.02.10-02.02.13;ОАО «Нижневартовскавиа»;Нижневартовск
;50;ФАВТ А.01448   23.12.08-06.02.11;ООО «Алыкель»;Норильск
;51;ФАВТ А.00844   23.07.07-23.07.10;МУП «Аэропорт Орск»;Орск
;52;ФАВТ А.00834   10.07.07-10.07.10;ООО Авиапредприятие «ГАЗПРОМАВИА»;Остафьево
;54;ФАВТ А.01123   28.03.08-28.03.11;ОАО «Международный аэропорт Улан-Удэ»;Улан-Удэ
;55;ФАВТ А.01638   09.12.09-09.12.12;ООО «Юграавиа»;Ханты-Мансийск
;56;ФАВТ А.01737   11.03.10-11.03.13;ОАО «Чебоксарское авиапредприятие»;Чебоксары
;57;ФАВТ А.01728   04.03.10-04.03.13;ОАО «Аэропорт Туношна»;Ярославль (Туношна)
;58;ФАВТ А.01789   21.04.10-21.04.13;ОАО «Белгородское авиапредприятие»;Белгород
;59;ФАВТ А.01761   01.04.10-01.04.13;ГУП Амурской области «Аэропорт Благовещенск»;Благовещенск
