Фамилия;Имя;Отчество;День рождения;Выдвинувшая партия;Фракция и должность;Состоит в комитетах;Срок окончания полномочий;Адрес сайта
Абельцев;Сергей;Николаевич;6/05/1961;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по безопасности;26/03/2008;http://www.abeltsev.ru/
Абрамов;Виктор;Семенович;18/08/1956;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по финансовому рынку;02/12/2007;
Аксаков;Анатолий;Геннадьевич;28/11/1957;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по финансовому рынку;02/12/2007;http://www.duma.gov.ru/aksakov/
Алферов;Жорес;Иванович;15/03/1930;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по науке и наукоемким технологиям;02/12/2007;
Амирилаев;Адам;Баширович;20/05/1963;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по делам общественных объединений и религиозных организаций;02/12/2007;
Андреев;Андрей;Анатольевич;24/05/1976;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по информационной политике, информационным технологиям и связи;02/12/2007;
Аникеев;Григорий;Викторович;28/02/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по труду и социальной политике;02/12/2007;
Антонов;Виктор;Васильевич;7/06/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по делам национальностей;02/12/2007;
Антонов;Роман;Валерьевич;24/01/1972;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по бюджету и налогам;02/12/2007;
Апарина;Алевтина;Викторовна;20/04/1941;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по труду и социальной политике;02/12/2007;
Аршба;Отари;Ионович;12/04/1955;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Асеев;Владимир;Михайлович;19/06/1951;"""Единая Россия""";"Член фракции ""Единая Россия""";Первый заместитель председателя Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;http://www.duma.gov.ru/aseev/
Афанасьева;Елена;Владимировна;27/03/1975;"""Либерально-демократическая партия России""";"Член фракции ""Либерально-демократическая партия России""";Член Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Афонин;Юрий;Вячеславович;22/03/1977;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по делам молодежи;02/12/2007;
Ахметов;Спартак;Галеевич;8/06/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по Регламенту и организации работы Государственной Думы;02/12/2007;
Бабаков;Александр;Михайлович;8/02/1963;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Заместитель Председателя ГД | Член Комитета ГД по энергетике;02/12/2007;
Бабич;Михаил;Викторович;28/05/1969;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ;02/12/2007;
Багаряков;Алексей;Владимирович;31/12/1972;"""Коммунистическая партия Российской Федерации""";Член фракции Коммунистической партии Российской Федерации;Член Комитета ГД по финансовому рынку;26/03/2008;
Багдасаров;Семен;Аркадьевич;20/11/1954;"""Справедливая Россия: родина/пенсионеры/жизнь""";"Член фракции ""Справедливая Россия""";Член Комитета ГД по международным делам;02/12/2007;
Балыхин;Григорий;Артёмович;19/11/1946;"""Единая Россия""";"Член фракции ""Единая Россия""";Председатель Комитета ГД по образованию;02/12/2007;
Банщиков;Михаил;Константинович;20/03/1949;"""Единая Россия""";"Член фракции ""Единая Россия""";Член Комитета ГД по вопросам местного самоуправления;02/12/2007;
Баринов;Игорь;Вячеславович;22/05/1968;"""Единая Россия""";"Член фракции ""Единая Россия""";Заместитель председателя Комитета ГД по обороне | Член Комиссии ГД по рассмотрению расходов федерального бюджета, направленных на обеспечение обороны и государственной безопасности РФ | Член Комиссии ГД по законодательному обеспечению противодействия коррупции;02/12/2007;http://www.ivbarinov.ru/
