Субъект РФ;Наименование организации;Рег. № в Реестре;Дата приказа ФСТ России;Номер приказа ФСТ России
Республика Адыгея;"ОАО ""Кубанская энергосбытовая компания""";01/02  (ранее - 23/01);22.01.2007  (17.03.2009)  (30.06.2009);9-э (50-э) (247-э)
Республика Алтай;"ОАО ""Алтайэнергосбыт"" (Горно-Алтайское отделение филиала ""Энергосбыт"")";02/05  (ранее - 22/01);04.07.2007  (30.06.2009);148-э (247-э)
Республика Алтай;"МУП ""Энергия""";02/01;20.08.2007;203-э
Республика Алтай;"ОАО ""Джазаторская ГЭС""";02/02;19.12.2007;339-э
Республика Алтай;"МУП ""Тон-Тыт""";02/03;21.03.2008;72-э
Республика Алтай;Сельская администрация Челушманского сельского поселения Улаганского района;02/04;21.03.2008;72-э
Республика Башкортостан;"ОАО ""Башкирэнерго""";03/01;09.02.2007;16-э
Республика Бурятия;"ОАО ""Бурятэнергосбыт""";04/01;22.01.2007;9-э
Республика Бурятия;"ООО ""Энергосервис"" (ранее - МУП ""Жилкомсервис"" - 04/02)";04/03;07.05.2008;159-э
Республика Дагестан;"ОАО ""Дагестанская энергосбытовая компания""";05/01;09.02.2007;16-э
Республика Ингушетия;"ОАО ""Ингушэнерго""";06/01;03.04.2007;47-э
Кабардино-Балкарская Республика;"ОАО ""Каббалкэнерго""";07/01;12.02.2007;17-э
Республика Калмыкия;"ОАО ""Калмэнергосбыт""";08/01;22.01.2007;9-э
Республика Калмыкия;"ОАО ""ГорЭлектроСбыт"" (ранее - МУП ""ГорЭлектроСбыт"" - 08/02)";08/03;09.02.2007;16-э
Карачаево-Черкесская Республика;"ОАО ""Карачаево-Черкесскэнерго""";09/01;12.02.2007;17-э
Карачаево-Черкесская Республика;"ОАО ""Черкесские городские электрические сети""";09/02;12.02.2007;17-э
Республика Карелия;"ОАО ""Карельская энергосбытовая компания""";10/01;09.02.2007;16-э
Республика Карелия;"ООО ""Энергокомфорт"". Единая Карельская сбытовая компания""";10/02;03.04.2007;47-э
Республика Карелия;"ООО ""Русэнергосбыт""";10/09  (ранее - 77/03);12.02.2007;17-э (84-э) (247-э)
Республика Карелия;"ОАО ""Прионежская сетевая компания"" (ранее - Кондопожское муниципальное МП ЖКХ -10/05) (+10/03,10/06) ";10/08;25.08.2008  (24.12.2009);319-э (472-э)
Республика Карелия;"ООО ""Боровские коммунальные системы"" (ранее - ООО ""Ухтуаэлектро"" - 10/07 (ранее - МУП ""Ухтинские электрические сети"" - 10/04))";10/10;24.12.2009;472-э
Республика Коми;"ОАО ""Коми энергосбытовая компания""";11/01;17.01.2007;7-э
