Номер по реестру;Наименование государственного первичного эталона;Институт-хранитель государственного первичного эталона
ГЭТ1-98;ГПЭ единицы времени-секунды, единицы частоты-Герца и национальной шкалы времени;"ФГУП ""ВНИИФТРИ"""
ГЭТ2-85;ГПЭ единицы длины;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ3-2008;ГПЭ единицы массы (килограмма);"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ4-91;ГПЭ единицы силы постоянного электрического тока;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ5-2003;ГПЭ единицы силы света и светового потока непрерывного излучения;"ФГУП ""ВНИИОФИ"""
ГЭТ6-95;ГПЭ единиц активности радионуклидов, потока и плотности потока альфа-, бета-частиц и фотонов радионуклидных источников;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ7-69;ГПСЭ единицы массы радия;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ8-82;ГПЭ единиц экспозиционной дозы, мощности экспозиционной дозы и потока энергии рентгеновского и гамма-излучений;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ9-82;ГПЭ единиц поглощенной дозы и мощности поглощенной дозы бета-излучений;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ10-81;ГПЭ единиц потока и плотности потока нейтронов;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ12-91;ГПЭ единиц магнитной индукции постоянного поля, постоянного магнитного потока, отношения магнитной индукции переменного поля к силе тока и отношения магнитного потока к магнитной индукции;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ13-01;ГПЭ единицы электрического напряжения;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ14-91;ГПЭ единицы электрического сопротивления;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ15-79;ГПЭ единицы индуктивности;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ16-96;ГПЭ единицы энергии сгорания;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ17-96;ГПЭ единицы кинематической вязкости жидкости;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ18-2000;ГПЭ единицы плотности;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ19-94;ГПЭ единицы звукового давления в воздушной среде.;"ФГУП ""ВНИИФТРИ"""
ГЭТ20-78;ГПСЭ единицы активности бета-излучения нуклидов в бета-активных газах;"ФГУП ""ВНИИФТРИ"""
ГЭТ21-91;ГПЭ единицы спектральной плотности мощности шумового радиоизлучения в диапазоне частот 0.002 – 178.3 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ22-80;ГПЭ единицы плоского угла;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ23-79;ГПЭ единицы давления;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ24-2007;ГПЭ единицы температурного коэффициента линейного расширения твердых тел;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ25-79;ГПЭ единицы электрической емкости;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ26-94;ГПЭ единицы мощности  электромагнитных колебаний в диапазоне частот 0.03 – 37.5 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ27-2009;ГПСЭ единицы электрического напряжения – вольта в диапазоне частот 3∙10 7 - 2∙10 9 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ28-2009;ГПЭ единицы средней мощности лазерного излучения;"ФГУП ""ВНИИОФИ"""
ГЭТ30-94;ГПСЭ твердости по шкалам Роквелла и Супер-Роквелла;"ФГУП ""ВНИИФТРИ"""
ГЭТ31-06;ГПСЭ единиц твердости по шкалам Виккерса;"ФГУП ""ВНИИФТРИ"""
ГЭТ32-72;ГПЭ единицы силы;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ33-85;ГПСЭ единиц твердости по шкалам Бринелля.;"ФГУП ""ВНИИФТРИ"""
ГЭТ34-2007;ГПЭ единицы температуры в диапазоне от 0 °C до 3000 °C;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ35-91;ГПЭ единицы температуры в диапазоне 0.8 – 273.16 К;"ФГУП ""ВНИИФТРИ"""
ГЭТ38-95;ГПЭ единиц поглощенной дозы и мощности поглощенной дозы фотонного и электронного излучений;"ФГУП ""ВНИИФТРИ"""
ГЭТ39-78;ГПСЭ единицы объемной активности радиоактивных аэрозолей;"ФГУП ""ВНИИФТРИ"""
ГЭТ43-73;ГПСЭ единицы давления в диапазоне 0.25 – 1.5 ГПа;"ФГУП ""ВНИИФТРИ"""
ГЭТ44-73;ГПСЭ единицы напряженности магнитного поля в диапазоне частот 0.01 – 30 МГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ45-94;ГПСЭ единицы напряженности электрического поля в диапазоне частот 300 Гц – 1 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ47-79;ГПСЭ единицы длины для спектроскопии;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ48-2001;ГПСЭ единицы энергетической яркости для инфракрасного излучения;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ49-80;ГПСЭ единицы давления для области абсолютных давлений в диапазоне 1e-3 – 1e3 Па;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ50-2008;ГПЭ единицы угла вращения плоскости поляризации;"ФГУП ""ВНИИОФИ"""
ГЭТ51-80;ГПСЭ единиц плотности потока нейтронов и флюенса нейтронов для ядерно-физических установок;"ФГУП ""ВНИИФТРИ"""
ГЭТ54-98;ГПЭ рН;"ФГУП ""ВНИИФТРИ"""
ГЭТ55-2008;ГПСЭ единицы звукового давления в воде в диапазоне частот от 1х10 -3  Гц до 1х10 6  Гц;"ФГУП ""ВНИИФТРИ"""
ГЭТ56-74;ГПСЭ единицы силы тока высокой частоты в диапазоне 0.1 – 300 МГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ57-84;ГПСЭ единицы ускорения при ударном движении;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ58-84;ГПСЭ единиц длины, скорости и ускорения при колебательном движении твердого тела в диапазоне частот 3E-1 – 1E4 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ59-2007;ГПЭ единицы теплопроводности;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ60-74;ГПЭ единицы удельной теплоемкости;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ61-88;ГПСЭ единицы угла – фазового сдвига между двумя электрическими напряжениями в диапазоне частот 1e-2 2e7 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ63-03;ГПЭ единицы массового расхода жидкости;"ФГУП ""ВНИИР"""
ГЭТ64-74;ГПЭ единицы объемного расхода жидкости;"ФГУП ""ВНИИР"""
ГЭТ66-75;ГПСЭ единицы температурного коэффициента линейного расширения твердых тел в диапазоне температур 4,2 - 90 K;"ФГУП ""ВНИИФТРИ"""
ГЭТ67-75;ГПСЭ единицы удельной теплоемкости твердых тел в диапазоне температур 1337 – 1800 К;"ФГУП ""УНИИМ"""
ГЭТ69-85;ГПСЭ единицы  теплопроводности твердых тел в диапазоне 90 – 300 К;"ФГУП ""ВНИИФТРИ"""
ГЭТ70-85;ГПСЭ единицы удельной теплоемкости твердых тел в диапазоне температур 90 – 273.15 К;"ФГУП ""ВНИИФТРИ"""
ГЭТ72-01;ГПЭ единиц потока электронов, плотности потока электронов и флюенса (переноса) электронов, потока энергии, плотности потока энергии и флюенса (переноса) энергии электронного и тормозного излучений.;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ73-75;ГПСЭ единицы поглощенной дозы рентгеновского излучения с максимальной энергией фотонов от 3 до 9 фДж (от 20 до 60 кэВ);"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ75-87;ГПСЭ единицы волнового сопротивления в коаксиальных волноводах;"ФГУП ""СНИИМ"""
ГЭТ79-75;ГПСЭ единицы удельной теплоемкости твердых тел в диапазоне температур от 4,2 до 90 К;"ФГУП ""ВНИИФТРИ"""
ГЭТ81-2009;ГПСЭ единиц координат цвета и координат цветности;"ФГУП ""ВНИИОФИ"""
ГЭТ82-85;ГПСЭ единицы магнитной индукции в диапазоне 1 – 10 Тл;"ФГУП ""ВНИИФТРИ"""
ГЭТ83-75;ГПЭ единицы дифференциальной резонансной парамагнитной восприимчивости (ДРПВ);"ФГУП ""ВНИИФТРИ"""
ГЭТ84-85;ГПСЭ единицы спектральной плотности энергетической яркости оптического излучения в диапазоне длин волн 0.04 – 0.25 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ86-89;"ГПЭ единиц спектральной плотности энергетической яркости, спектральной плотности силы излучения и спектральной плотности энергетической освещенности в диапазоне длин волн 0.25 – 25.00 мкм; силы излучения и энергетической освещенности в диапазоне длин волн 0.2 – 25.0 мкм";"ФГУП ""ВНИИОФИ"""
ГЭТ87-75;ГПСЭ единицы объемного влагосодержания нефти и нефтепродуктов;"ФГУП ""ВНИИР"""
ГЭТ88-88;ГПСЭ единицы силы электрического тока в диапазоне частот 20 – 1Е6 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ89-2008;ГПСЭ единицы электрического напряжения (вольта) в диапазоне частот 10 - 3·10 7 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ90-85;ГПСЭ единицы мощности  импульсного лазерного излучения в диапазоне длин волн 0.4 – 10.6 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ94-01;ГПЭ единиц линейного ускорения и плоского угла при угловом перемещении твердого тела;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ95-75;ГПСЭ единицы давления для разности давления;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ101-76;ГПСЭ единицы давления для абсолютного давления в диапазоне 2.7e2 – 1.3e5 Па;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ104-84;ГПЭ единицы магнитного момента;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ107-77;ГПСЭ единицы электрической емкости в диапазоне частот 1 – 100 МГц;"ФГУП ""СНИИМ"""
ГЭТ108-77;ГПСЭ единицы угловой скорости;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ109-77;ГПЭ единицы постоянного углового ускорения;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ110-77;ГПСЭ единицы относительной диэлектрической проницаемости жидких, твердых и газообразных диэлектриков в диапазоне частот 1 – 10 ГГц;"ФГУП ""ВНИИФТРИ"""
ГЭТ113-77;ГПСЭ единицы длины в области измерений параметров шероховатости Rmax и Rz в диапазоне 0.1 – 1000 мкм.;"ФГУП ""ВНИИМС"""
ГЭТ114-77;ГПСЭ единицы потока излучения при длине волны 0.95 мкм;"ФГУП ""ВНИИОФИ"""
ГЭТ116-78;ГПСЭ единицы температуры водной среды в диапазоне частот пульсаций температуры 0.5 – 100 Гц;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ117-78;ГПЭ единиц мощности поглощенной и эквивалентной доз нейтронного излучения;"ФГУП ""ВНИИФТРИ"""
ГЭТ118-2006;ГПЭ единиц объемного и массового расходов газа;"ФГУП ""ВНИИР"""
ГЭТ119-79;ГПСЭ единицы объемного расхода воды;"ФГУП ""ВНИИР"""
ГЭТ120-79;ГПСЭ единицы объемного расхода нефтепродуктов.;"ФГУП ""ВНИИР"""
ГЭТ121-80;ГПСЭ единицы относительной диэлектрической проницаемости твердых и жидких диэлектриков в  диапазоне частот 10 – 10 7 Гц;"ФГУП ""ВНИИФТРИ"""
ГЭТ130-80;ГПСЭ единицы длины в области измерений отклонений от прямолинейности и плоскостности;"ФГУП ""УНИИМ"""
ГЭТ131-81;ГПСЭ единицы давления для области переменного давления в диапазоне 1e2 – 1e6 Па для частот 5e-2 – 1e4 Гц и длительностей 1e-5 – 10 с;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ132-99;ГПЭ единицы удельной электрической проводимости жидкостей   *) *)Примечание :в части диапазона  от 0,1 до 50 См/м;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
ГЭТ132-99;ГПЭ единицы удельной электрической проводимости жидкостей **) **)Примечание: в части диапазона от 1·10 -3 до 10 См/м;"ФГУП ""ВНИИФТРИ"""
ГЭТ133-81;ГПСЭ единицы количества теплоты в области калориметрии растворения и реакций;"ФГУП ""ВНИИМ им. Д.И. Менделеева"""
