Номер сертификата;Название;Полное название;Юридический адрес;Аэропорты базирования;Контролирующее МТУ;Типы ВС
463;2й Архангельский ОАО;"ОАО ""2й Архангельский объединенный авиаотряд""";163035 г.Архангельск, аэропорт Васьково;Васьково;Архангел. МТУ;"Ан-2; Л-410УВП-Э; Ми-26;  Ми-8"
198;Абакан-авиа;"ЗАО ""Авиакомпания ""Абакан-Авиа""";665008 Р.Хакасия, Абакан, аэропорт;Абакан;Красноярск. МТУ;"AS-350B3; Ил-76; Ми-2;  Ми-8"
481;Авиа Менеджмент Груп;"ЗАО ""Авиа Менеджмент Груп""";119017 Москва,ул.Б.Ордынка, 44, стр.4;Быково;МТУ Центр.район;PC-12/47
442;Авиакон Цитотранс;"ОАО Авиакомпания ""АВИАКОН ЦИТОТРАНС""";620026 Свердлов.о.Екатеринб ург,ул.Белинского56, 605;Кольцово;Уральское МТУ;Ил-76
534;Авиалесоохрана;"Автономное учреждение Республики Алтай Алтайская база авиационной охраны лесов ""Авиалесоохрана""";649000, Респ. Алтай г.Горно-Алтайск, ул. Ленкина, д.20;Барнаул;Зап.- Сиб. МТУ;"Ан-2; Ми-2; Ми-8; R-44"
513;Авиалинии Дагестана;"ОАО ""Авиалинии Дагестана""";367016 Р.Дагестан,Махачкала -16, аэропорт;Махачкала;Южное МТУ;"Ми-8; Ту-134; Ту-154Б; Ту-154М"
278;Авиалинии Кубани;"ОАО ""Авиационные Линии Кубани""";350912 Краснодар, ул.Евдокии Бершанской,355;Краснодар;Южное МТУ;Як-42, В-737
509;Авиалинии Мордовии;"ОАО ""Авиалинии Мордовии""";430018 Россия, Р.Мордовия, г.Саранск, аэропорт;Саранск;Приволжск. МТУ;"Ан-2; Ан-24; Ан-26"
120;Авиалифт Владивосток;"ЗАО ""Авиалифт Владивосток""";692756,Приморский кр,г.Артем,Орбита 4;Кневичи;Дальневост.МТУ;Ка-32
180;АВИАЛЬ НВ;"ООО ""Авиакомпания АВИАЛЬ НВ""";125167 Москва,Ленинградский пр-т, д.37, к3, оф1110;Домодедово;МТУ Центр.район;Ан-12
531;ООО «Авианова»;Общество с ограниченной ответственностью «Авианова»;123022 Москва, ул. 2-я Звениго-родская, д.1;Внуково, Шереметьево;МТУ ВТ Центральных районов;А-320
476;АВИАПАНХ;"ОАО ""Авиационная компания ""АВИАПАНХ""";153041, г. Иваново, аэропорт ГА;Быково;МТУ Центр.район;"Ми-2; Ми-8"
458;Авиастар-ТУ;"ООО Авиационная компания ""Авиастар-ТУ""";113054 Россия, г.Москва, ул.Бахрушина, д.23, стр.1;Внуково, Домодедово, Раменское;МТУ Центр.район;Ту-204
87;АВИАХИМ;"ООО Авиакомпания ""АВИАХИМ""";305022 г.Курск, ул.Союзная, д.26;Курск;МТУ Центр.район;Ан-2
9;Авиашельф;"ЗАО совместное пред-тие ""Авиац.компания Авиашельф-Aviashelf""";693004 Южно-Сахалинск пр.Мира, 420;Южно-Сахалинск1 , Оха;Дальневост.МТУ;Ми-8
264;АВИАЭНЕРГО;"ОАО Авиакомпания ""Авиаэнерго""";125047Москва, ул.1-ая Тверская-Ямская,д.16 /23 ст.1;Шереметьево;МТУ Центр.район;"Ил-62М; :Ту-154М"
483;Авис-Амур;"ООО ""Авиакомпания ""Авис-Амур""";680032 г.Хабаровск, ул.Локомотивная, д.12а;Хабаровск(Нов) Комсомольск-на-Амуре;Дальневост.МТУ;"Ми-2; Ми-8; Ан-2; Ан-12"
533;АЙ ФЛАЙ;"ООО ""АЙ ФЛАЙ""";117342, г.Москва, Севастопольский пр-т. д. 56/40, стр. 1;Внуково;МТУ Центр. район;В-757-200
333;Алтайские Авиалинии;"Алтайское краевое гос.унит.предприятие ""Алтайские авиалинии""";656030,Алтайский кр.Барнаул,ул.Павлов ский тр.,226;Барнаул;Зап.-Сиб. МТУ;"Ан-2; Ми-8; R-44;"
249;АК БАРС АЭРО;"ОАО ""АК БАРС АЭРО""";423230 Бугульма, Татарстан, аэропорт;Бугульма;Татарское МТУ;"Як-40; CL-604; CL-600-2B19(CRJ-200)"
