Категория эмитента;Идентификатор;Имя;Организация-эмитент;Область использования
Операторы связи;1.2.643.1;C=RU,o=REG1;;Регистрация объектов, относящихся к Минсвязи
Операторы связи;1.2.643.1.1;C=RU,o=REG1,o=CentralTelgraph;"ОАО ""Центральный телеграф""";Описание объектов и атрибутов Х500
Операторы связи;1.2.643.1.2;C=RU,o=REG1,o=OJSC Mobile Telesystems;ОАО “Мобильные телесистемы ”;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Операторы связи;1.2.643.1.3;"C=RU,o=REG1,o=""Demos-Internet"" JSC";ЗАО “Демос-Интернет”;Информационные технологии, защита информации, обеспечение инфраструктуры открытых ключей
Операторы связи;1.2.643.1.4;"C=RU,o=REG1,o=JSC "" Atcom """;ЗАО “ Атком ”;Услуги телематических служб, защищенные телекоммуникационные сети и системы
Операторы связи;1.2.643.1.5;"C=RU,o=REG1,o=""Volga region certificate authority""";ЗАО “Поволжский удостоверяющий центр”;Предоставление услуг связи
Операторы связи;1.2.643.1.6;"C=RU,o=REG1,o=""IT Company""";"ЗАО Фирма "" АйТи ""”";"Информационные технологии; защита информации; разработка программно-технических комплексов Автоматизированных систем аутентификации и авторизации пользователей; обеспечение инфраструктуры открытых ключей; разработка АРМ-ов на базе концепции защиты информации; защита программных средств от несанкционированного использования; разработка систем электронного документооборота с использованием ЭЦП."
Операторы связи;1.2.643.1.7;"C=RU,o=REG1,o="""" Taxcom "" Ltd.""";ООО « Такском » г .М осква;Предоставление услуг специализированного оператора связи (в том числе – услуг подтверждения сроков пересылки электронных документов) в системах массового защищенного электронного документооборота
Операторы связи;1.2.643.1.8;"C=RU,o=REG1,o=JSC ""Server-Center""";ЗАО «Сервер-Центр» г .В ладивосток;Услуги телематических служб, защищенные телекоммуникационные сети и системы, предоставление услуг специализированного оператора связи в системах массового защищенного электронного документооборота.
Операторы связи;1.2.643.1.9;"C=RU,o=REG1,o=OJSC North-West Telecom""";ОАО «Северо-Западный Телеком»;Предоставление услуг связи. Информационные и коммуникационные системы
