Фамилия;Имя;Отчество;День рождения;Должность?;Состоит в комитетах;Дата подтверждения полномочий;Срок окончания полномочий;Адрес email;Телефоны;Адрес приемной в субъекте Российской Федерации;Телефоны приемной в субъекте Российской Федерации;ID региона
Агапов;Борис;Николаевич;06.02.1946;Представитель от исполнительного органа государственной власти  Сахалинской области;Заместитель председателя Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;12.10.2005;август 2007;BNAgapov@council.gov.ru;692-62-90,986-60-01;693011, г. Южно-Сахалинск, Коммунистическмй просп., д. 39;(8-424-2) 46-91-01;280091
Айбазов;Ратмир;Умарович;12.04.1955;Представитель от исполнительного органа государственной власти Карачаево-Черкесской Республики;Член Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;17.06.2009;сентябрь 2013;RUAybazov@council.gov.ru;692-08-90, 697-80-82, 697-91-76,986-60-74;;;279900
Александров;Алексей;Иванович;03.05.1952;Представитель от законодательного (представительного) органа государственной власти  Калужской области;Председатель Комитета Совета Федерации по конституционному законодательству;12.04.2004;март 2015;Aleksandrov@council.gov.ru;692-18-97,986-65-67;248600, Калуга, пл.Старый Торг, д.2, каб.414;(8-484-2) 57-50-00;280004
Аленичев;Дмитрий;Анатольевич;20.10.1972;Представитель от законодательного (представительного) органа государственной власти Омской области;Член Комитета Совета Федерации по обороне и безопасности, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;06.07.2007;март 2012;DAAlenichev@council.gov.ru;697-79-78,6-75-94;644002, г. Омск, ул. Красный путь, д. 1;(8-381-2) 23-15-80;280058
Алиханов;Девлетхан;Медетханович;19.08.1958;Представитель от исполнительного органа государственной власти Республики Карелия;Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комитета Совета Федерации по экономической политике, предпринимательству и собственности;17.03.2010;март 2011;DMAlihanov@council.gov.ru;692-63-87,986-64-34;;;279904
Алтынбаев;Рафгат;Закиевич;21.09.1948;Представитель от исполнительного органа государственной власти Рязанской области;Председатель Комитета Совета Федерации по делам Федерации и региональной политике, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;21.09.2005;апрель 2013;RZAltynbaev@council.gov.ru;692-61-45,986-61-65, 986-62-10;г. Рязань, ул. Ленина, д.30;(8-491-2) 29-63-06;280082
Ананьев;Дмитрий;Николаевич;19.02.1969;Представитель от законодательного (представительного) органа государственной власти Ямало-Ненецкого автономного округа;Председатель Комитета Совета Федерации по финансовым рынкам и денежному обращению, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности;25.09.2006;март 2015;Ananiev@council.gov.ru;692-67-12,986-69-54;Москва, Славянская площ., д.2, 629008, г. Салехард, ул. Республики, д. 72;"(8-495) 221-36-00; (8-349-22) т./факс 4-71-47";280119
Аслаханов;Асламбек;Ахмедович;11.03.1942;Представитель от исполнительного органа государственной власти Омской области;Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комитета Совета Федерации по международным делам, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;11.07.2008;май 2012;AAAslahanov@council.gov.ru;695-87-33,6-77-33, 986-65-46;;;280058
Атанов;Егор;Васильевич;28.04.1964;Представитель от законодательного (представительного) органа государственной власти Тульской области;Заместитель председателя Комитета Совета Федерации по образованию и науке, Член Комиссии Совета Федерации по естественным монополиям;16.12.2009;октябрь 2014;EVAtanov@council.gov.ru;692-66-21,986-60-80;;;280109
Бабичев;Владимир;Степанович;11.01.1939;Представитель от законодательного (представительного) органа государственной власти Республики Калмыкия;Заместитель председателя Комитета Совета Федерации по делам Содружества Независимых Государств, Член Комиссии Совета Федерации по взаимодействию со Счетной палатой Российской Федерации, Член Комиссии Совета Федерации по естественным монополиям;03.02.2010;март 2013;VSBabichev@council.gov.ru;623-31-07ф, 629-11-90,986-60-31;;;279898
Бажанов;Сергей;Викторович;23.08.1954;Представитель от законодательного (представительного) органа государственной власти Ульяновской области;Заместитель председателя Комитета Совета Федерации по финансовым рынкам и денежному обращению, Член Комиссии Совета Федерации по физической культуре, спорту и развитию олимпийского движения;26.11.2008;март 2013;SVBazhanov@council.gov.ru;692-41-16,986-68-00;432970, г. Ульяновск, ул. Радищева, д. 1;(8-842-2) 41-24-15, 44-06-04, факс 44-07-93;280122
Байдавлетов;Рафаэль;Ибрагимович;16.08.1943;Представитель от исполнительного органа государственной власти Республики Башкортостан;Заместитель председателя Комитета Совета Федерации по делам Федерации и региональной политике;16.04.2008;октябрь 2011;RIBaydavletov@council.gov.ru;697-58-76,986-69-35;450000, г. Уфа, ул. Цюрупы, д. 17, каб.414;;279883
Беков;Сергей;Мажитович;27.11.1939;Представитель от исполнительного органа государственной власти Агинского Бурятского автономного округа;Заместитель председателя Комитета Совета Федерации по конституционному законодательству, Член Комиссии Совета Федерации по естественным монополиям, Член Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству;14.07.2006;январь 2010;SMBekov@council.gov.ru;623-61-66, 697-78-14,986-68-14;"687000, Читинская обл., пос. Агинское, ул. Базара Ринчино, д. 92; (8-302-39) 3-55-96";;1649002
Белов;Леонид;Александрович;15.05.1947;Представитель от законодательного (представительного) органа государственной власти Нижегородской области;Заместитель председателя Комитета Совета Федерации по конституционному законодательству, Член Комиссии Совета Федерации по информационной политике;23.06.2006;март 2011;LABelov@council.gov.ru;692-64-47,986-64-97;603082 г.Нижний Новгород, Кремль, к.2, комн.100;(8-831) 349-00-13;280050
Белоусов;Сергей;Владимирович;04.02.1955;Представитель от законодательного (представительного) органа государственной власти Алтайского края;Заместитель председателя Комиссии Совета Федерации по жилищной политике и жилищно-коммунальному хозяйству, Член Комитета Совета Федерации по аграрно-продовольственной политике и рыбохозяйственному комплексу;29.12.2008;март 2012;SVBelousov@council.gov.ru;692-75-41, 697-57-54,986-60-23;;;279938
Бирюков;Юрий;Станиславович;07.03.1948;Представитель от исполнительного органа государственной власти Ненецкого автономного округа;Заместитель председателя Комитета Совета Федерации по правовым и судебным вопросам, Член Комиссии Совета Федерации по Регламенту и организации парламентской деятельности, Член Комиссии Совета Федерации по контролю за обеспечением деятельности Совета Федерации;22.12.2006;февраль 2014;JuSBirjukov@council.gov.ru;697-56-65,986-67-20;164700, г. Нарьян-Мар, ул. Смидовича, д. 20;(818-53) 4-21-13, 4-22-69 факс;279969
Богданов;Виталий;Анатольевич;06.10.1953;Представитель от исполнительного органа государственной власти Курской области;Заместитель председателя Комиссии Совета Федерации по информационной политике, Член Комитета Совета Федерации по экономической политике, предпринимательству и собственности;23.06.2006;март 2015;VABogdanov@council.gov.ru;692-41-50,986-61-09;305002, г. Курск, Красная пл., д. 6, под. 5, офис 32;(8-471-2) 56-59-00 т/факс;280023
Борисов;Александр;Александрович;17.08.1974;Представитель от  законодательного (представительного) органа государственной власти Псковской области;Заместитель председателя Комиссии Совета Федерации по делам молодежи и туризму, Член Комитета Совета Федерации по вопросам местного самоуправления;13.05.2009;март 2012;AABorisov@council.gov.ru;692-59-10,986-62-91;;;280076
