Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"МУЗ ""Алагирская ЦРБ""";Республика Северная Осетия (Алания);Алагирский;Алагир;г. Алагир, ул. Островского, 38;43.042721;44.222568;(86731) 5-22-43, 3-20-92;пн-пт 9.00-14.00
"ОГУЗ ""Ангарская областная станция переливания крови""";Иркутская область;Ангарский район;Ангарск;г. Ангарск, 95 квартал, 13, пом. 65;52.541672;103.919548;(3955) 67-89-37;пн-пт 7.45-15.30
"Филиал №2 ОГУЗ ""Братская ОСПК"" Отделение заготовки крови г. Железногорск- Илимский";Иркутская область;Усть-Илимский район;Железногорск-Илимский;г. Железногорск- Илимский, квартал 3, 34/1;56.575050;104.117470;(39566) 3-18-25;
Пушкинский филиал;Санкт-Петербург;Санкт-Петербург;Пушкин;г. Пушкин, ул.Жуковско- Волынская , д. 2/4;59.718377;30.426396;(812) 466-43-92, 466-43-86;пн-сб 8:30 - 14:00
"ОПК ГУ ""МОНИКИ"" им. М.Ф. Владимирского";Москва;Москва;Москва;ул. Щепкина, 61/2;55.785667;37.628966;(495) 681-41-70, 631-30-22 (ОПК);
ГУЗ «Краевая станция переливания крови №1»;Пермский край;Пермский;Пермь;г. Пермь ул. Лебедева, дом 54;58.017626;56.276668;(342) 248-63-24;пн-пт 8.00-13.00
"ГУЗ ""Московская областная станция переливания крови""";Москва;Москва;Москва;г. Москва, ул. Металлургов, 37а;55.762126;37.799329;(495) 304-02-21;пн-пт 8.00-15.00
"ГУЗ ""Бузулукская станция переливания крови""";Оренбургская область;Бузулукский;Бузулук;г. Бузулук, 4 мкн, 1;52.785240;52.252640;(35342) 5-64-16;пн-пт 8.00-14.00
"МУЗ ""Ягодинская ЦРБ""";Магаданская область;Ягодинский;пос. Ягодное;Ягодинский р-н, п. Ягодное, ул. Ленина, 13;62.526878;149.626465;(41343) 2-25-71, 2-29-58;вт. 8.30-12.00
"ОГУЗ ""Смоленский центр крови""";Смоленская область;Смоленск;Смоленск;г. Смоленск, ул. Ковтюха, д. 6;54.781101;32.048889;(4812) 38-04-20;пн-пт 8.00-16.00
"ГУЗ ""Мородовская республиканская станция переливания крови""";Республика Мордовия;Саранск;Саранск;г. Саранск, ул. Дальняя, 3а;54.188557;45.153358;(8342) 24-64-89, 32-83-11;пн-пт 8.00-12.00
"ГУЗ ""Брянская областная станция переливания крови""";Брянская область;Брянский городский округ;Брянск;г. Брянск, ул. 3-го Июля, 48;53.259753;34.363676;(4832) 64-84-93, 64-88-64;пн-пт 8.30-14.00
Отделение заготовки крови №2;Свердловская область;Артёмовский городской округ;Артёмовский;г. Артемовский, ул. Энергетиков, 1;57.338169;61.903481;(34363) 2-48-76;вт,ср,чт 8.00-14.00
Отделение заготовки крови №11;Свердловская область;Режевской городской округ;Реж;г. Реж, ул. П. Морозова, 60;57.364861;61.408650;(34364) 5-53-30;вт,ср,чт 8.00-14.00
"МУ ""Суоярвская ЦРБ""";Республика Карелия;Суоярвский;Суоярви;г. Суоярви, ул. Шельшакова, 17;62.094341;32.376759;(81457) 5-10-40, ОПК: 5-13-58;вт 9.00-12.00
"МЛПУ ""Костомукшская ГБ""";Республика Карелия;Костомукша;Костомукша;г. Костомукша, ул. Мира, 9;64.570511;30.575470;(81459) 5-10-27, 5-17-03, ОПК: 5-12-06;вт, чт 9.00-12.00
"МУЗ ""Дзун-Хемчикская ЦКБ""";Республика Тыва;Дзун-Хемчикский кожуун;Чадан;г. Чадан, ул. Ленина, 74;51.290650;91.569031;(39434) 2-10-12;пн-пт 8.00-17.00
"МУЗ ""Барун-Хемчикская ЦКБ""";Республика Тыва;Барун-Хемчикский район;Ак-Довурак;г. Ак-Довурак, ул. Центральная, 18;51.166290;90.600510;(39433) 2-12-54;пн-пт 8.00-17.00
"ГУЗ ""Ульяновская областная станция переливания крови""";Ульяновская область;Ульяновский;Ульяновск;г. Ульяновск, ул. 3-го Интернационала, 13;54.321480;48.385650;(8422) 32-54-80, 32-56-66;пн-пт 7.30 - 15.00
